time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-27T13:47:55.267Z,42.4479,16.0496,7,5.5,mww,,30,1.651,0.88,us,us6000dx0m,2021-12-11T13:15:43.423Z,"55 km N of Peschici, Italy",earthquake,4.6,1.8,0.043,53,reviewed,us,us
2021-03-18T00:17:05.186Z,36.9107,5.3143,10,5,mww,,38,3.092,0.55,us,us7000dkfb,2021-05-26T22:08:44.040Z,"26 km NE of Bejaïa, Algeria",earthquake,6.4,1.8,0.073,18,reviewed,us,us
2021-03-18T00:04:06.698Z,36.9206,5.2014,8,6,mww,,20,3.06,0.45,us,us7000dker,2021-09-25T11:46:15.930Z,"21 km NNE of Bejaïa, Algeria",earthquake,6.9,1.8,0.033,86,reviewed,us,us
2020-12-29T11:19:54.762Z,45.4244,16.2573,10,6.4,mww,,13,0.941,0.75,us,us6000d3zh,2023-11-21T19:23:39.177Z,"2 km WSW of Petrinja, Croatia",earthquake,4.4,1.8,0.033,89,reviewed,us,us
2020-11-22T03:53:08.474Z,36.6442,6.8625,10,5.1,mww,,37,2.205,1.25,us,us6000crds,2022-03-10T05:48:26.167Z,"24 km WSW of Azzaba, Algeria",earthquake,6.5,1.8,0.048,41,reviewed,us,us
2020-08-07T06:15:37.835Z,36.5497,6.2708,10,5,mww,,44,2.619,0.76,us,us6000bag6,2022-03-10T05:31:32.704Z,"3 km NNE of Sidi Mérouane, Algeria",earthquake,6.8,1.9,0.058,29,reviewed,us,us
2020-03-22T05:24:03.700Z,45.9072,15.9697,10,5.3,mww,,12,0.794,0.59,us,us70008dx7,2023-02-17T14:06:55.780Z,"5 km E of Gornja Bistra, Croatia",earthquake,3.7,1.8,0.035,79,reviewed,us,us
2020-01-28T20:15:08.171Z,41.4656,19.5362,10,5.1,mb,,19,0.985,1.13,us,us60007ifh,2020-04-11T18:21:03.040Z,"12 km NW of Vorë, Albania",earthquake,4.6,1.8,0.035,270,reviewed,us,us
2019-11-28T10:52:41.876Z,41.5368,19.422,10,5,mb,,37,0.9,0.81,us,us70006e5g,2020-02-19T18:58:17.040Z,"22 km WSW of Mamurras, Albania",earthquake,5.2,1.8,0.04,199,reviewed,us,us
2019-11-27T14:45:23.989Z,41.5498,19.4787,10,5.3,mww,,39,0.894,0.92,us,us70006dsc,2023-03-11T19:46:10.947Z,"18 km W of Mamurras, Albania",earthquake,4.5,1.8,0.058,29,reviewed,us,us
