time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-28T19:25:15.758Z,36.7381,6.8615,11.57,4.3,mb,,90,2.245,0.93,us,us7000g9yv,2022-04-28T11:40:35.388Z,"15 km SSW of Skikda, Algeria",earthquake,2,4.9,0.169,14,reviewed,us,us
2021-12-24T23:59:55.857Z,47.3748,6.8239,9.23,4.1,mb,,88,0.871,0.76,us,us6000gf4p,2024-04-06T07:54:58.378Z,"2 km WSW of Blamont, France",earthquake,3.8,5.9,0.262,4,reviewed,us,us
2021-12-23T21:33:44.421Z,37.3584,15.0589,10,4.3,mb,,87,0.571,0.58,us,us6000gex4,2022-03-01T16:39:59.040Z,"9 km NNE of Carlentini, Italy",earthquake,2.9,1.9,0.201,7,reviewed,us,us
2021-12-18T10:34:47.765Z,45.6559,9.5873,37.73,4.5,mb,,56,0.658,0.53,us,us6000gdds,2023-09-17T11:28:49.379Z,"1 km WNW of Dalmine, Italy",earthquake,4.4,7.5,0.172,10,reviewed,us,us
2021-12-01T22:44:13.996Z,38.5721,14.973,225.42,4.4,mb,,77,1.205,0.8,us,us6000g8aq,2022-02-05T23:03:45.040Z,"8 km N of Canneto, Italy",earthquake,5.9,7.4,0.092,34,reviewed,us,us
2021-11-28T02:52:34.197Z,38.6587,14.3447,10,4.5,mb,,56,1.187,0.58,us,us7000fxly,2022-02-05T23:04:23.040Z,"43 km WNW of Leni, Italy",earthquake,5.4,1.8,0.103,28,reviewed,us,us
2021-11-17T23:19:44.618Z,42.4628,15.8428,16.9,4.2,mb,,27,0.711,0.62,us,us7000fuyf,2022-01-22T20:52:00.040Z,"47 km NE of Isole Tremiti, Italy",earthquake,4.5,6.9,0.263,4,reviewed,us,us
2021-10-29T10:53:08.462Z,43.8485,12.9676,17.6,4.1,mwr,,43,0.668,0.59,us,us7000fpqa,2022-01-14T17:58:42.040Z,"central Italy",earthquake,3.2,3.9,,,reviewed,us,zamg
2021-10-18T12:54:18.594Z,42.9218,13.1128,10,4.3,mb,,32,0.088,0.65,us,us6000fvmd,2021-12-25T22:58:46.040Z,"2 km ESE of Visso, Italy",earthquake,4,1.9,0.16,11,reviewed,us,us
2021-10-17T20:13:31.521Z,41.7893,19.6551,29.98,4.4,mwr,,36,0.468,0.91,us,us6000fvhn,2021-12-25T22:58:43.040Z,"1 km ENE of Lezhë, Albania",earthquake,1.7,5.1,0.061,26,reviewed,us,us
2021-10-06T19:57:33.511Z,43.6811,16.8584,10,4.9,mb,,16,1.092,1.16,us,us6000fsew,2021-12-10T21:14:15.040Z,"10 km E of Otok, Croatia",earthquake,4.2,1.8,0.059,89,reviewed,us,us
2021-10-05T05:39:25.163Z,46.0321,7.4204,5,4.1,mb,,47,0.341,0.74,us,us6000frtq,2021-12-10T21:14:10.040Z,"10 km SSW of Evolène, Switzerland",earthquake,4.3,1.9,0.184,8,reviewed,us,us
2021-09-21T14:04:37.846Z,41.4836,19.9323,10,4,mb,,46,0.145,0.91,us,us7000fd4t,2021-12-03T15:01:42.040Z,"11 km ESE of Krujë, Albania",earthquake,5.6,2,0.517,2,reviewed,us,us
2021-09-20T01:01:09.979Z,44.5625,18.1833,10,3.4,ml,,141,0.737,0.82,us,us7000fcs8,2021-12-03T15:01:35.040Z,"6 km ENE of Maglaj, Bosnia and Herzegovina",earthquake,5.1,2,0.052,48,reviewed,us,us
2021-09-15T12:26:54.443Z,42.2522,19.4574,18.88,4.3,mb,,29,0.229,1.03,us,us7000fbeg,2021-11-23T15:12:30.040Z,"4 km NNE of Koplik, Albania",earthquake,4.1,5.3,0.168,10,reviewed,us,us
2021-09-15T02:19:44.290Z,42.2591,19.4647,21.46,4.1,mb,,37,0.227,1.28,us,us7000fb99,2022-08-08T14:26:11.736Z,"5 km NNE of Koplik, Albania",earthquake,3.2,7.6,0.126,17,reviewed,us,us
2021-09-11T20:49:36.606Z,40.3471,19.5,10,4.2,mb,,71,0.604,1.16,us,us7000fadq,2021-11-23T15:10:05.040Z,"3 km NE of Orikum, Albania",earthquake,5.3,1.9,0.237,5,reviewed,us,us
2021-09-08T11:28:39.320Z,44.315,17.8873,11.28,4.3,mb,,35,0.664,0.57,us,us7000f97d,2021-11-17T17:28:47.040Z,"10 km SSW of Željezno Polje, Bosnia and Herzegovina",earthquake,3,5.4,0.177,9,reviewed,us,us
2021-08-31T04:14:16.786Z,38.1839,14.1642,10,4.2,mb,,68,0.729,0.71,us,us7000f61w,2021-11-06T20:28:41.040Z,"18 km N of Finale, Italy",earthquake,5.1,1.9,0.167,10,reviewed,us,us
2021-08-19T05:30:20.569Z,39.0711,15.7206,203.96,4.8,mb,,56,0.814,0.79,us,us6000f885,2021-10-29T14:46:30.040Z,"31 km WSW of Amantea, Italy",earthquake,4.8,5.1,0.037,229,reviewed,us,us
2021-08-17T10:21:44.992Z,38.6858,14.6325,292.58,4.2,mb,,60,1.234,0.51,us,us6000f7h8,2021-10-29T14:46:24.040Z,"21 km NW of Malfa, Italy",earthquake,7.9,7.2,0.11,23,reviewed,us,us
2021-08-16T23:58:56.595Z,45.4755,16.2341,10,4.6,mb,,21,1.064,0.69,us,us6000f7dp,2021-10-29T14:46:23.040Z,"6 km NW of Petrinja, Croatia",earthquake,4.3,1.9,0.066,69,reviewed,us,us
2021-08-16T21:15:39.237Z,47.4326,12.0831,10,3.7,ml,,40,0.347,1.15,us,us6000f784,2021-12-11T12:48:34.694Z,"1 km S of Niederau, Austria",earthquake,3,2,0.049,54,reviewed,us,us
2021-08-08T21:10:23.054Z,44.8351,17.3491,9.11,4,mb,,39,0.145,0.54,us,us6000f3fw,2021-10-23T15:45:54.040Z,"8 km SSE of Laktaši, Bosnia and Herzegovina",earthquake,5.7,6.1,0.195,7,reviewed,us,us
2021-08-01T23:27:19.300Z,45.4702,16.3163,10,4.1,mb,,76,0.947,0.67,us,us6000f1bx,2021-10-14T01:05:17.040Z,"4 km NNE of Petrinja, Croatia",earthquake,2.1,2,0.301,3,reviewed,us,us
2021-07-27T20:00:44.569Z,41.7756,19.5298,15.07,4.1,mb,,37,0.683,0.71,us,us6000ezlp,2021-10-03T05:22:33.040Z,"6 km SW of Shëngjin, Albania",earthquake,4.8,5,0.112,22,reviewed,us,us
2021-07-23T22:52:27.208Z,39.5192,15.4311,263.31,4.4,mb,,58,0.559,0.71,us,us6000eyiz,2021-10-03T05:21:31.040Z,"38 km WSW of Diamante, Italy",earthquake,6.7,5.5,0.085,40,reviewed,us,us
2021-07-19T19:21:28.085Z,36.6973,5.6209,10,4.6,mb,,69,3.162,0.84,us,us7000eni2,2022-08-09T06:18:36.529Z,"18 km SW of Jijel, Algeria",earthquake,6.4,1.9,0.054,103,reviewed,us,us
2021-07-13T13:07:34.823Z,39.7228,12.9941,471.33,4.2,mb,,49,2.148,0.47,us,us7000elie,2021-09-17T22:50:10.040Z,"113 km N of Ustica, Italy",earthquake,11.4,6.9,0.103,28,reviewed,us,us
2021-06-28T22:58:19.617Z,37.3326,14.7429,23.83,2.9,ml,,97,0.322,0.34,us,us6000eqnt,2021-09-09T22:05:44.040Z,"0 km NNW of Palagonia, Italy",earthquake,5.2,12.4,0.091,16,reviewed,us,us
2021-06-25T23:18:46.907Z,42.4922,18.5227,10,4.4,mb,,22,0.549,1.06,us,us6000epuy,2021-09-09T22:04:58.040Z,"3 km NNE of Igalo, Montenegro",earthquake,3.9,1.9,0.08,47,reviewed,us,us
